"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","BZN|SE4","Without sequence","84.03","",""
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","BZN|SE4","Without sequence","97.25","",""
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","BZN|SE4","Without sequence","103.95","",""
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","BZN|SE4","Without sequence","108.51","",""
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","BZN|SE4","Without sequence","109.92","",""
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","BZN|SE4","Without sequence","110.14","",""
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","BZN|SE4","Without sequence","110.65","",""
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","BZN|SE4","Without sequence","109.91","",""
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","BZN|SE4","Without sequence","101.09","",""
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","BZN|SE4","Without sequence","113.06","",""
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","BZN|SE4","Without sequence","122.81","",""
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","BZN|SE4","Without sequence","135.62","",""
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","BZN|SE4","Without sequence","150.72","",""
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","BZN|SE4","Without sequence","142.11","",""
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","BZN|SE4","Without sequence","119.92","",""
"06/01/2023 20:00:00 - 06/01/2023 21:00:00","BZN|SE4","Without sequence","107.22","",""
"06/01/2023 21:00:00 - 06/01/2023 22:00:00","BZN|SE4","Without sequence","101.02","",""
"06/01/2023 22:00:00 - 06/01/2023 23:00:00","BZN|SE4","Without sequence","74.25","",""
"06/01/2023 23:00:00 - 07/01/2023 00:00:00","BZN|SE4","Without sequence","71.74","",""
"07/01/2023 00:00:00 - 07/01/2023 01:00:00","BZN|SE4","Without sequence","71.67","",""
"07/01/2023 01:00:00 - 07/01/2023 02:00:00","BZN|SE4","Without sequence","69.93","",""
"07/01/2023 02:00:00 - 07/01/2023 03:00:00","BZN|SE4","Without sequence","69.94","",""
"07/01/2023 03:00:00 - 07/01/2023 04:00:00","BZN|SE4","Without sequence","70.95","",""
"07/01/2023 04:00:00 - 07/01/2023 05:00:00","BZN|SE4","Without sequence","73.83","",""
"07/01/2023 05:00:00 - 07/01/2023 06:00:00","BZN|SE4","Without sequence","75.26","",""
"07/01/2023 06:00:00 - 07/01/2023 07:00:00","BZN|SE4","Without sequence","77.82","",""
"07/01/2023 07:00:00 - 07/01/2023 08:00:00","BZN|SE4","Without sequence","75.97","",""
"07/01/2023 08:00:00 - 07/01/2023 09:00:00","BZN|SE4","Without sequence","79.98","",""
"07/01/2023 09:00:00 - 07/01/2023 10:00:00","BZN|SE4","Without sequence","109.31","",""
"07/01/2023 10:00:00 - 07/01/2023 11:00:00","BZN|SE4","Without sequence","97.6","",""
"07/01/2023 11:00:00 - 07/01/2023 12:00:00","BZN|SE4","Without sequence","86.2","",""
"07/01/2023 12:00:00 - 07/01/2023 13:00:00","BZN|SE4","Without sequence","85.79","",""
"07/01/2023 13:00:00 - 07/01/2023 14:00:00","BZN|SE4","Without sequence","91.79","",""
"07/01/2023 14:00:00 - 07/01/2023 15:00:00","BZN|SE4","Without sequence","80.51","",""
"07/01/2023 15:00:00 - 07/01/2023 16:00:00","BZN|SE4","Without sequence","78.94","",""
"07/01/2023 16:00:00 - 07/01/2023 17:00:00","BZN|SE4","Without sequence","79.93","",""
"07/01/2023 17:00:00 - 07/01/2023 18:00:00","BZN|SE4","Without sequence","78.68","",""
"07/01/2023 18:00:00 - 07/01/2023 19:00:00","BZN|SE4","Without sequence","78.38","",""
"07/01/2023 19:00:00 - 07/01/2023 20:00:00","BZN|SE4","Without sequence","74.39","",""
"07/01/2023 20:00:00 - 07/01/2023 21:00:00","BZN|SE4","Without sequence","66.98","",""
"07/01/2023 21:00:00 - 07/01/2023 22:00:00","BZN|SE4","Without sequence","59.99","",""
"07/01/2023 22:00:00 - 07/01/2023 23:00:00","BZN|SE4","Without sequence","48.8","",""
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","BZN|SE4","Without sequence","35.9","",""
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","BZN|SE4","Without sequence","24.44","",""
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","BZN|SE4","Without sequence","9.3","",""
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","BZN|SE4","Without sequence","9.1","",""
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","BZN|SE4","Without sequence","4.16","",""
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","BZN|SE4","Without sequence","5.58","",""
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","BZN|SE4","Without sequence","9.92","",""
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","BZN|SE4","Without sequence","9.02","",""
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","BZN|SE4","Without sequence","16.47","",""
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","BZN|SE4","Without sequence","27.08","",""
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","BZN|SE4","Without sequence","29.08","",""
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","BZN|SE4","Without sequence","35.22","",""
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","BZN|SE4","Without sequence","47.0","",""
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","BZN|SE4","Without sequence","47.0","",""
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","BZN|SE4","Without sequence","48.96","",""
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","BZN|SE4","Without sequence","54.91","",""
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","BZN|SE4","Without sequence","63.49","",""
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","BZN|SE4","Without sequence","66.11","",""
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","BZN|SE4","Without sequence","69.19","",""
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","BZN|SE4","Without sequence","69.91","",""
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","BZN|SE4","Without sequence","65.62","",""
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","BZN|SE4","Without sequence","60.98","",""
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","BZN|SE4","Without sequence","57.41","",""
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","BZN|SE4","Without sequence","50.02","",""
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","BZN|SE4","Without sequence","46.29","",""
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","BZN|SE4","Without sequence","69.04","",""
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","BZN|SE4","Without sequence","64.38","",""
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","BZN|SE4","Without sequence","60.28","",""
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","BZN|SE4","Without sequence","39.41","",""
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","BZN|SE4","Without sequence","47.34","",""
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","BZN|SE4","Without sequence","68.99","",""
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","BZN|SE4","Without sequence","104.56","",""
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","BZN|SE4","Without sequence","156.16","",""
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","BZN|SE4","Without sequence","175.68","",""
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","BZN|SE4","Without sequence","172.89","",""
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","BZN|SE4","Without sequence","155.25","",""
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","BZN|SE4","Without sequence","156.71","",""
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","BZN|SE4","Without sequence","137.19","",""
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","BZN|SE4","Without sequence","134.37","",""
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","BZN|SE4","Without sequence","140.12","",""
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","BZN|SE4","Without sequence","147.4","",""
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","BZN|SE4","Without sequence","158.08","",""
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","BZN|SE4","Without sequence","171.85","",""
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","BZN|SE4","Without sequence","172.51","",""
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","BZN|SE4","Without sequence","157.7","",""
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","BZN|SE4","Without sequence","145.07","",""
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","BZN|SE4","Without sequence","134.62","",""
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","BZN|SE4","Without sequence","83.84","",""
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","BZN|SE4","Without sequence","80.59","",""
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","BZN|SE4","Without sequence","76.05","",""
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","BZN|SE4","Without sequence","79.95","",""
