"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|CZ","Without sequence","91.49","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|CZ","Without sequence","87.67","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|CZ","Without sequence","86.54","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|CZ","Without sequence","85.0","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|CZ","Without sequence","84.11","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|CZ","Without sequence","85.28","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|CZ","Without sequence","89.43","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|CZ","Without sequence","107.7","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|CZ","Without sequence","122.48","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|CZ","Without sequence","132.89","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|CZ","Without sequence","120.87","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|CZ","Without sequence","112.52","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|CZ","Without sequence","105.14","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|CZ","Without sequence","99.64","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|CZ","Without sequence","100.21","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|CZ","Without sequence","110.47","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|CZ","Without sequence","119.0","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|CZ","Without sequence","127.84","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|CZ","Without sequence","137.79","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|CZ","Without sequence","137.56","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|CZ","Without sequence","130.23","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|CZ","Without sequence","119.91","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|CZ","Without sequence","111.61","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|CZ","Without sequence","105.68","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|CZ","Without sequence","96.74","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|CZ","Without sequence","89.04","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|CZ","Without sequence","86.76","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|CZ","Without sequence","86.73","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|CZ","Without sequence","85.89","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|CZ","Without sequence","86.95","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|CZ","Without sequence","90.05","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|CZ","Without sequence","109.73","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|CZ","Without sequence","127.0","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|CZ","Without sequence","141.27","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|CZ","Without sequence","130.39","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|CZ","Without sequence","118.65","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|CZ","Without sequence","109.13","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|CZ","Without sequence","101.81","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|CZ","Without sequence","106.47","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|CZ","Without sequence","113.64","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|CZ","Without sequence","124.39","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|CZ","Without sequence","135.22","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|CZ","Without sequence","143.79","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|CZ","Without sequence","140.0","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|CZ","Without sequence","132.15","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|CZ","Without sequence","120.0","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|CZ","Without sequence","109.5","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|CZ","Without sequence","104.45","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|CZ","Without sequence","95.79","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|CZ","Without sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|CZ","Without sequence","88.59","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|CZ","Without sequence","87.25","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|CZ","Without sequence","82.38","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|CZ","Without sequence","82.12","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|CZ","Without sequence","88.98","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|CZ","Without sequence","101.57","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|CZ","Without sequence","116.82","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|CZ","Without sequence","141.0","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|CZ","Without sequence","129.16","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|CZ","Without sequence","113.65","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|CZ","Without sequence","106.48","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|CZ","Without sequence","99.38","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|CZ","Without sequence","99.0","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|CZ","Without sequence","105.98","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|CZ","Without sequence","117.81","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|CZ","Without sequence","133.94","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|CZ","Without sequence","148.44","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|CZ","Without sequence","136.64","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|CZ","Without sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|CZ","Without sequence","117.24","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|CZ","Without sequence","107.19","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|CZ","Without sequence","100.0","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|CZ","Without sequence","96.63","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|CZ","Without sequence","90.76","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|CZ","Without sequence","87.98","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|CZ","Without sequence","85.43","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|CZ","Without sequence","84.92","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|CZ","Without sequence","85.93","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|CZ","Without sequence","89.34","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|CZ","Without sequence","98.9","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|CZ","Without sequence","120.0","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|CZ","Without sequence","140.74","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|CZ","Without sequence","134.96","",""
