doba,udtczas,obciazenie,udtczas_oreb,business_date,source_datetime
2024-06-14,2024-06-14 20:00:00,19955.768,19:45 - 20:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 20:15:00,19986.338,20:00 - 20:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 20:30:00,19968.525,20:15 - 20:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 20:45:00,20031.809,20:30 - 20:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 21:00:00,19856.934,20:45 - 21:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 21:15:00,19519.281,21:00 - 21:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 21:30:00,19327.139,21:15 - 21:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 21:45:00,19166.518,21:30 - 21:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 22:00:00,18446.781,21:45 - 22:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 22:15:00,18389.07,22:00 - 22:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 22:30:00,17913.115,22:15 - 22:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 22:45:00,17661.7,22:30 - 22:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 23:00:00,17457.059,22:45 - 23:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 23:15:00,17024.258,23:00 - 23:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 23:30:00,16662.137,23:15 - 23:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 23:45:00,16154.98,23:30 - 23:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-15,2024-06-15 00:15:00,15775.866,00:00 - 00:15,2024-06-15,2025-01-30 15:15:15.593
2024-06-15,2024-06-15 00:30:00,15411.152,00:15 - 00:30,2024-06-15,2025-01-30 15:15:15.593
2024-06-15,2024-06-15 00:45:00,15142.044,00:30 - 00:45,2024-06-15,2025-01-30 15:15:15.593
2024-06-15,2024-06-15 01:00:00,15089.17,00:45 - 01:00,2024-06-15,2025-01-30 15:15:15.593
